t,LE11,LE22,LE33,LE12,LE13,LE23,J,S11,S22,S33,S12,S13,S23,psiE,psiNE
11.6,-0.000642432828044657,-0.00064243282656189,0.457424847038875,0,0,0,1.57797121590233,2.37403149395965e-09,2.3740843683312e-09,0.0253498127813604,0,0,0,0.00299210263270631,0.00204085040134655
11.8,-0.00155194944989235,-0.00155194944259341,0.46373401623214,0,0,0,1.58507245202238,2.36890591864825e-09,2.3691718361446e-09,0.0256612730076238,0,0,0,0.0030652196712144,0.0020880580778615
12,-0.00246954773254698,-0.00246954772734297,0.470003629245736,0,0,0,1.59211693090496,2.36048005620992e-09,2.36066742022312e-09,0.0259702438683441,0,0,0,0.0031386314576672,0.00213507994906325
12.2,-0.0033948425350683,-0.0033948425325383,0.476234178996372,0,0,0,1.59910563355208,2.34724046102586e-09,2.34733028847689e-09,0.0262767683930236,0,0,0,0.00321232884923752,0.00218189824500089
12.4,-0.00432747333250674,-0.00432747333500431,0.482426149244293,0,0,0,1.60603948729129,2.33047176868839e-09,2.33038041121125e-09,0.0265808872517437,0,0,0,0.00328630303070242,0.00222849585971077
12.6,-0.00526710279112536,-0.00526710279304559,0.488580014818671,0,0,0,1.61291936829288,2.30973920545274e-09,2.30966978355396e-09,0.0268826388739166,0,0,0,0.00336054550299649,0.00227485634088842
12.8,-0.00621341528665025,-0.00621341528666355,0.494696241836107,0,0,0,1.61974610436804,2.28608096168592e-09,2.28608148904186e-09,0.0271820595654196,0,0,0,0.00343504807295805,0.00232096387872693
13,-0.00716611554322732,-0.00716611555114379,0.500775287912489,0,0,0,1.62652047757986,2.25925844178632e-09,2.25898250279244e-09,0.0274791836284119,0,0,0,0.0035098028435793,0.00236680329603067
13.2,-0.00812492729093557,-0.00812492728291011,0.506817602368452,0,0,0,1.63324322701757,2.22870911656403e-09,2.22898698457041e-09,0.0277740434792943,0,0,0,0.00358480220512895,0.0024123600379033
13.4,-0.00908959190269752,-0.00908959190072569,0.512823626428664,0,0,0,1.63991505149433,2.19583369369392e-09,2.19590267844239e-09,0.028066669766805,0,0,0,0.00366003882677172,0.00245762016208756
13.6,-0.010059867225752,-0.0100598672224616,0.518793793415168,0,0,0,1.6465366121995,2.16084753909551e-09,2.16096035683677e-09,0.0283570914892622,0,0,0,0.00373550564866464,0.00250257032974105
13.8,-0.0110355263345052,-0.011035526334912,0.524728528934982,0,0,0,1.65310853528933,2.12358090140308e-09,2.12356652921908e-09,0.0286453361106427,0,0,0,0.00381119587445729,0.0025471977966931
14,-0.0120163563884579,-0.0120163563917683,0.53062825106217,0,0,0,1.65963141454271,2.08422962395816e-09,2.08411667090846e-09,0.0289314296734969,0,0,0,0.00388710296428981,0.002591490404478
14.2,-0.0130021575345309,-0.0130021575344894,0.536493370514568,0,0,0,1.66610581385387,2.04239172275911e-09,2.04239225358449e-09,0.0292153969108467,0,0,0,0.00396322062797565,0.00263543657221682
14.4,-0.0139927418260915,-0.0139927418312069,0.542324290825362,0,0,0,1.67253226977353,1.99912137364977e-09,1.99895002113426e-09,0.0294972613541957,0,0,0,0.00403954281857182,0.00267902528822418
14.6,-0.0149879322713234,-0.0149879322712339,0.548121408509688,0,0,0,1.67891129384201,1.95380401267486e-09,1.95380427982228e-09,0.0297770454403021,0,0,0,0.00411606372601217,0.00272224610259511
14.8,-0.0159875618153945,-0.0159875618206155,0.553885113226438,0,0,0,1.68524337502397,1.90801771778049e-09,1.90784521514331e-09,0.0300547706126886,0,0,0,0.00419277777111361,0.00276508911910951
15,-0.0169914725180756,-0.0169914725211169,0.559615787935423,0,0,0,1.69152898183012,1.86030075545462e-09,1.86020196295267e-09,0.0303304574225663,0,0,0,0.00426967959947858,0.00280754498855909
15.2,-0.0179995146288257,-0.0179995146233957,0.565313809050061,0,0,0,1.69776856463456,1.81094098918033e-09,1.8111155752204e-09,0.0306041256228152,0,0,0,0.00434676407581097,0.00284960490078336
15.4,-0.0190115457835561,-0.0190115457853214,0.570979546585738,0,0,0,1.70396255775436,1.76158071289734e-09,1.76152331436696e-09,0.0308757942600021,0,0,0,0.00442402627815903,0.00289126057762516
15.6,-0.0200274303104525,-0.0200274303162906,0.576613364303994,0,0,0,1.71011138133546,1.7109177859187e-09,1.71073126498111e-09,0.0311454817637241,0,0,0,0.00450146149213204,0.00293250426653016
15.8,-0.0210470384625897,-0.0210470384602588,0.582215619852664,0,0,0,1.716215443362,1.65822687005213e-09,1.6582963873607e-09,0.031413206029334,0,0,0,0.00457906520538531,0.0029733287330797
16,-0.0220702457105345,-0.0220702457178158,0.587786664902119,0,0,0,1.72227514155904,1.60617803605934e-09,1.60594408084302e-09,0.0316789844966574,0,0,0,0.00465683310211839,0.0030137272536046
16.2,-0.0230969322383974,-0.0230969322438427,0.593326845277734,0,0,0,1.72829086487186,1.55248039424016e-09,1.55230465981315e-09,0.0319428342284947,0,0,0,0.00473476105729703,0.00305369360953947
16.4,-0.0241269822371284,-0.0241269822388306,0.598836501088704,0,0,0,1.73426299535533,1.49881687963593e-09,1.49875826679913e-09,0.0322047719787094,0,0,0,0.00481284513135951,0.00309322207903994
16.6,-0.0251602834443399,-0.025160283451768,0.60431596685333,0,0,0,1.74019190949391,1.44442862531902e-09,1.4441926300679e-09,0.0324648142617814,0,0,0,0.00489108156449933,0.00313230743104481
16.8,-0.0261967266245065,-0.0261967266241198,0.609765571620894,0,0,0,1.74607797976849,1.38939121319126e-09,1.38939200769461e-09,0.0327229774138629,0,0,0,0.00496946677125922,0.00317094491739472
17,-0.0272362050787971,-0.0272362050803824,0.615185639090233,0,0,0,1.75192157595761,1.33497581045194e-09,1.33491737802638e-09,0.0329792776516077,0,0,0,0.00504799733497212,0.00320913026572134
17.2,-0.0282786142956162,-0.0282786142972144,0.62057648772511,0,0,0,1.75772306626488,1.27934479503267e-09,1.27928574851499e-09,0.0332337311277471,0,0,0,0.00512667000214514,0.00324685967261788
17.4,-0.029323851486664,-0.0293238514922757,0.625938430866495,0,0,0,1.76348281864459,1.2236280044764e-09,1.22345025083126e-09,0.0334863539786733,0,0,0,0.00520548167707396,0.00328412979498353
17.6,-0.0303718152864207,-0.0303718152981014,0.631271776841858,0,0,0,1.7692012017212,1.16799342420038e-09,1.16763682923848e-09,0.0337371623718614,0,0,0,0.00528442941620593,0.00332093774291092
17.8,-0.0314224054355409,-0.0314224054457915,0.636576829071551,0,0,0,1.77487858574424,1.1118033004659e-09,1.11149143361411e-09,0.0339861725474477,0,0,0,0.00536351042261126,0.00335728107159534
18,-0.0324755224736443,-0.0324755224671944,0.641853886172395,0,0,0,1.78051534351749,1.05570599137628e-09,1.05588458115813e-09,0.0342334008550866,0,0,0,0.00544272204050208,0.00339315777269358
18.2,-0.0335310674995852,-0.0335310674890574,0.647103242058539,0,0,0,1.78611185106572,9.99260944822833e-10,9.99557821929065e-10,0.0344788637889237,0,0,0,0.00552206174963954,0.00342856626633091
18.4,-0.0345889419397933,-0.0345889419399524,0.65232518603969,0,0,0,1.79166848845993,9.4411371602543e-10,9.440957945972e-10,0.034722578015643,0,0,0,0.00560152715992185,0.00346350539149416
18.6,-0.0356490474189432,-0.0356490474205601,0.657520002916794,0,0,0,1.79718564018391,8.87468046967266e-10,8.87407678590302e-10,0.0349645604035907,0,0,0,0.00568111600575111,0.00349797439824322
18.8,-0.0367112854702719,-0.0367112854761018,0.662687973075237,0,0,0,1.80266369597596,8.32346769633063e-10,8.32164601116681e-10,0.035204828040994,0,0,0,0.00576082614077648,0.00353197293647696
19,-0.0377755575205123,-0.0377755575252725,0.667829372575656,0,0,0,1.80810305090897,7.7669732104213e-10,7.76547146030815e-10,0.0354433982596229,0,0,0,0.00584065553225489,0.00356550104829478
19.2,-0.0388417646877825,-0.0388417646831585,0.672944473242426,0,0,0,1.81350410600561,7.21129487721295e-10,7.21248670162988e-10,0.0356802886470279,0,0,0,0.00592060225582112,0.00359855915658001
19.4,-0.0399098077060947,-0.0399098077036015,0.678033542749897,0,0,0,1.81886726841878,6.66248774899847e-10,6.66308669697302e-10,0.0359155170602905,0,0,0,0.00600066449009238,0.00363114805535959
19.6,-0.0409795868765072,-0.0409795868748472,0.683096844706444,0,0,0,1.82419295165355,6.12161207141915e-10,6.12197971136541e-10,0.0361491016351654,0,0,0,0.00608084051139802,0.00366326889923181
19.8,-0.0420510020108808,-0.0420510020145771,0.688134638736401,0,0,0,1.82948157562605,5.56736271667413e-10,5.56616175026448e-10,0.0363810607936059,0,0,0,0.00616112868853235,0.00369492319309774
20,-0.04312395233778,-0.0431239523357381,0.693147180559945,0,0,0,1.83473356703136,5.03268399176804e-10,5.03308781804601e-10,0.0366114132434181,0,0,0,0.00624152747774563,0.00372611277945197
20.2,-0.0441983365658112,-0.0441983365696805,0.698134722070984,0,0,0,1.83994935895575,4.49629866325352e-10,4.4950916253117e-10,0.0368401779846603,0,0,0,0.00632203541750935,0.00375683982947405
20.4,-0.04527405283851,-0.0452740528357526,0.703097511413114,0,0,0,1.84512939115147,3.96044979797394e-10,3.961045606099e-10,0.0370673743037539,0,0,0,0.00640265112368863,0.00378710682967477
20.6,-0.0463509987347548,-0.0463509987295447,0.708035793053696,0,0,0,1.85027410982853,3.42892925858651e-10,3.43013542916659e-10,0.0372930217711727,0,0,0,0.0064833732846237,0.00381691657087416
20.8,-0.0474290713192728,-0.0474290713142187,0.712949807856125,0,0,0,1.85538396753115,2.90383073489608e-10,2.90503215233384e-10,0.0375171402350299,0,0,0,0.00656420065637541,0.00384627213616274
21,-0.0485081671658857,-0.0485081671674353,0.717839793150317,0,0,0,1.86045942296067,2.39176128555285e-10,2.39115647421295e-10,0.0377397498127631,0,0,0,0.0066451320580786,0.00387517688874256
21.2,-0.0495881824354493,-0.049588182431967,0.72270598280149,0,0,0,1.86550094068794,1.8833015355546e-10,1.88403488990407e-10,0.0379608708818392,0,0,0,0.00672616636739717,0.00390363445999825
21.4,-0.0506690128919977,-0.0506690128867417,0.727548607277278,0,0,0,1.87050899093988,1.37589816276429e-10,1.37710199146768e-10,0.0381805240673232,0,0,0,0.00680730251613838,0.00393164873682796
21.6,-0.0517505539894543,-0.0517505539955106,0.732367893713227,0,0,0,1.87548404929378,8.68847823548569e-11,8.67037899809908e-11,0.0383987302284366,0,0,0,0.00688853948597947,0.00395922384911424
